Coordinate,Chemical Potential,Hardness,Electrophilicity,Reaction Electronic Flux
-3.700000,-0.166589,0.377292,0.036778,-0.000065
-3.650000,-0.166586,0.377281,0.036777,0.000038
-3.600000,-0.166593,0.377222,0.036786,0.000238
-3.550000,-0.166609,0.377133,0.036802,0.000559
-3.500000,-0.166648,0.376988,0.036834,0.001107
-3.450000,-0.166720,0.376763,0.036887,0.001854
-3.400000,-0.166834,0.376440,0.036969,0.002772
-3.350000,-0.166997,0.376003,0.037085,0.003822
-3.300000,-0.167216,0.375438,0.037238,0.004964
-3.250000,-0.167494,0.374740,0.037431,0.006153
-3.200000,-0.167831,0.373905,0.037667,0.007348
-3.150000,-0.168228,0.372933,0.037944,0.008513
-3.100000,-0.168683,0.371828,0.038262,0.009623
-3.050000,-0.169191,0.370597,0.038621,0.010657
-3.000000,-0.169748,0.369247,0.039018,0.011603
-2.950000,-0.170351,0.367787,0.039452,0.012454
-2.900000,-0.170994,0.366224,0.039919,0.013207
-2.850000,-0.171672,0.364569,0.040419,0.013866
-2.800000,-0.172380,0.362830,0.040949,0.014436
-2.750000,-0.173115,0.361013,0.041507,0.014920
-2.700000,-0.173872,0.359126,0.042091,0.015328
-2.650000,-0.174648,0.357176,0.042699,0.015666
-2.600000,-0.175439,0.355167,0.043330,0.015943
-2.550000,-0.176242,0.353104,0.043983,0.016162
-2.500000,-0.177055,0.350991,0.044657,0.016327
-2.450000,-0.177875,0.348832,0.045351,0.016447
-2.400000,-0.178700,0.346628,0.046063,0.016524
-2.350000,-0.179528,0.344383,0.046794,0.016560
-2.300000,-0.180356,0.342099,0.047542,0.016557
-2.250000,-0.181183,0.339776,0.048307,0.016516
-2.200000,-0.182008,0.337416,0.049089,0.016440
-2.150000,-0.182827,0.335019,0.049886,0.016326
-2.100000,-0.183640,0.332587,0.050699,0.016170
-2.050000,-0.184444,0.330120,0.051526,0.015975
-2.000000,-0.185238,0.327619,0.052367,0.015733
-1.950000,-0.186018,0.325084,0.053221,0.015444
-1.900000,-0.186782,0.322514,0.054087,0.015106
-1.850000,-0.187528,0.319911,0.054963,0.014715
-1.800000,-0.188254,0.317273,0.055850,0.014271
-1.750000,-0.188955,0.314600,0.056745,0.013766
-1.700000,-0.189630,0.311890,0.057648,0.013203
-1.650000,-0.190276,0.309145,0.058556,0.012582
-1.600000,-0.190888,0.306361,0.059470,0.011895
-1.550000,-0.191465,0.303539,0.060386,0.011146
-1.500000,-0.192003,0.300676,0.061304,0.010334
-1.450000,-0.192499,0.297772,0.062222,0.009459
-1.400000,-0.192949,0.294824,0.063138,0.008526
-1.350000,-0.193351,0.291831,0.064052,0.007534
-1.300000,-0.193702,0.288791,0.064961,0.006489
-1.250000,-0.194000,0.285703,0.065866,0.005395
-1.200000,-0.194242,0.282564,0.066763,0.004255
-1.150000,-0.194426,0.279373,0.067654,0.003074
-1.100000,-0.194549,0.276127,0.068536,0.001853
-1.050000,-0.194611,0.272825,0.069410,0.000599
-1.000000,-0.194609,0.269465,0.070274,-0.000677
-0.950000,-0.194543,0.266047,0.071129,-0.001963
-0.900000,-0.194413,0.262572,0.071973,-0.003246
-0.850000,-0.194219,0.259049,0.072807,-0.004510
-0.800000,-0.193962,0.255489,0.073626,-0.005735
-0.750000,-0.193645,0.251914,0.074427,-0.006908
-0.700000,-0.193271,0.248355,0.075202,-0.008020
-0.650000,-0.192843,0.244855,0.075940,-0.009077
-0.600000,-0.192363,0.241465,0.076623,-0.010099
-0.550000,-0.191833,0.238246,0.077231,-0.011123
-0.500000,-0.191251,0.235268,0.077735,-0.012200
-0.450000,-0.190613,0.232605,0.078101,-0.013384
-0.400000,-0.189913,0.230335,0.078292,-0.014767
-0.350000,-0.189136,0.228535,0.078265,-0.016416
-0.300000,-0.188271,0.227278,0.077979,-0.018241
-0.250000,-0.187312,0.226603,0.077417,-0.019977
-0.200000,-0.186273,0.226431,0.076619,-0.021733
-0.150000,-0.185139,0.226682,0.075605,-0.023982
-0.100000,-0.183875,0.227335,0.074362,-0.026806
-0.050000,-0.182458,0.228371,0.072888,-0.030560
0.000000,-0.180819,0.229833,0.071129,-0.034043
0.050000,-0.179054,0.231829,0.069147,-0.036372
0.100000,-0.177182,0.234138,0.067041,-0.038902
0.150000,-0.175164,0.236698,0.064813,-0.041649
0.200000,-0.173017,0.239469,0.062503,-0.044011
0.250000,-0.170763,0.242417,0.060144,-0.045961
0.300000,-0.168421,0.245511,0.057769,-0.047527
0.350000,-0.166010,0.248732,0.055400,-0.048773
0.400000,-0.163544,0.252066,0.053055,-0.049764
0.450000,-0.161034,0.255504,0.050747,-0.050535
0.500000,-0.158490,0.259036,0.048486,-0.051081
0.550000,-0.155926,0.262649,0.046284,-0.051380
0.600000,-0.153352,0.266320,0.044152,-0.051406
0.650000,-0.150785,0.270024,0.042100,-0.051142
0.700000,-0.148238,0.273728,0.040139,-0.050578
0.750000,-0.145727,0.277400,0.038278,-0.049714
0.800000,-0.143267,0.281005,0.036521,-0.039946
0.850000,-0.141733,0.282790,0.035518,-0.021730
0.900000,-0.141094,0.282813,0.035195,-0.012404
0.950000,-0.140492,0.282789,0.034899,-0.011643
1.000000,-0.139930,0.282715,0.034629,-0.010842
1.050000,-0.139408,0.282591,0.034386,-0.009995
1.100000,-0.138930,0.282417,0.034172,-0.009091
1.150000,-0.138499,0.282196,0.033987,-0.008124
1.200000,-0.138118,0.281929,0.033832,-0.007096
1.250000,-0.137789,0.281622,0.033708,-0.006015
1.300000,-0.137516,0.281280,0.033615,-0.004892
1.350000,-0.137300,0.280909,0.033554,-0.003743
1.400000,-0.137142,0.280515,0.033524,-0.002589
1.450000,-0.137041,0.280105,0.033524,-0.001452
1.500000,-0.136997,0.279685,0.033552,-0.000358
1.550000,-0.137005,0.279264,0.033607,0.000666
1.600000,-0.137063,0.278847,0.033686,0.001590
1.650000,-0.137165,0.278441,0.033785,0.002389
1.700000,-0.137302,0.278053,0.033900,0.003044
1.750000,-0.137469,0.277688,0.034027,0.003547
1.800000,-0.137657,0.277347,0.034162,0.003904
1.850000,-0.137859,0.277033,0.034301,0.004126
1.900000,-0.138070,0.276749,0.034441,0.004231
1.950000,-0.138282,0.276495,0.034579,0.004231
2.000000,-0.138493,0.276273,0.034713,0.004129
2.050000,-0.138695,0.276086,0.034838,0.003917
2.100000,-0.138884,0.275937,0.034952,0.003591
2.150000,-0.139054,0.275829,0.035051,0.003152
2.200000,-0.139200,0.275763,0.035133,0.002610
2.250000,-0.139315,0.275741,0.035194,0.001981
2.300000,-0.139398,0.275762,0.035233,0.001281
2.350000,-0.139443,0.275825,0.035248,0.000530
2.400000,-0.139451,0.275927,0.035238,-0.000248
2.450000,-0.139419,0.276065,0.035205,-0.001029
2.500000,-0.139348,0.276234,0.035147,-0.001795
2.550000,-0.139239,0.276431,0.035068,-0.002524
2.600000,-0.139095,0.276649,0.034968,-0.003200
2.650000,-0.138919,0.276884,0.034849,-0.003807
2.700000,-0.138715,0.277131,0.034716,-0.004327
2.750000,-0.138486,0.277382,0.034571,-0.004744
2.800000,-0.138240,0.277633,0.034417,-0.005036
2.850000,-0.137983,0.277876,0.034259,-0.005148
